person,race_ethnicity,religion,sexual_orientation,year_of_award,award,movie
Lewis Milestone,White,Na,Straight,1927,Best Director,Two Arabian Knights
Frank Lloyd,White,Na,Straight,1930,Best Director,The Divine Lady
Lewis Milestone,White,Na,Straight,1931,Best Director,All Quiet on the Western Front
Norman Taurog,White,Na,Straight,1932,Best Director,Skippy
Frank Borzage,White,Roman Catholic,Straight,1933,Best Director,Bad Girl
Frank Lloyd,White,Na,Straight,1934,Best Director,Cavalcade
Frank Capra,White,Roman Catholic,Straight,1935,Best Director,It Happened One Night
John Ford,White,Roman Catholic,Bisexual,1936,Best Director,The Informer
Frank Capra,White,Roman Catholic,Straight,1937,Best Director,Mr. Deeds Goes to Town
Leo McCarey,White,Na,Straight,1938,Best Director,The Awful Truth
Frank Capra,White,Roman Catholic,Straight,1939,Best Director,You Can't Take It with You
Victor Fleming,White,Na,Straight,1940,Best Director,Gone with the Wind
John Ford,White,Roman Catholic,Bisexual,1941,Best Director,The Grapes of Wrath
John Ford,White,Roman Catholic,Bisexual,1942,Best Director,How Green Was My Valley
William Wyler,White,Na,Straight,1943,Best Director,Mrs. Miniver
Michael Curtiz,White,Na,Straight,1944,Best Director,Casablanca
Leo McCarey,White,Na,Straight,1945,Best Director,Going My Way
Jerome Robbins,White,Jewish,Gay,1962,Best Director,West Side Story
Billy Wilder,White,Jewish,Straight,1946,Best Director,The Lost Weekend
William Wyler,White,Na,Straight,1947,Best Director,The Best Years of Our Lives
Elia Kazan,White,Na,Straight,1948,Best Director,Gentleman's Agreement
John Huston,White,Na,Straight,1949,Best Director,The Treasure of the Sierra Madre
Joseph L. Mankiewicz,White,Jewish,Straight,1950,Best Director,A Letter to Three Wives
Joseph L. Mankiewicz,White,Jewish,Straight,1951,Best Director,All About Eve
George Stevens,White,Na,Straight,1952,Best Director,A Place in the Sun
John Ford,White,Roman Catholic,Bisexual,1953,Best Director,The Quiet Man
Fred Zinnemann,White,Jewish,Straight,1954,Best Director,From Here to Eternity
Elia Kazan,White,Na,Straight,1955,Best Director,On the Waterfront
Delbert Mann,White,Presbyterian,Straight,1956,Best Director,Marty
George Stevens,White,Na,Straight,1957,Best Director,Giant
David Lean,White,Na,Straight,1958,Best Director,The Bridge on the River Kwai
Vincente Minnelli,White,Na,Bisexual,1959,Best Director,Gigi
William Wyler,White,Na,Straight,1960,Best Director,Ben-Hur
Billy Wilder,White,Jewish,Straight,1961,Best Director,The Apartment
Robert Wise,White,Na,Straight,1961,Best Director,West Side Story
David Lean,White,Na,Straight,1963,Best Director,Lawrence of Arabia
Tony Richardson,White,Na,Bisexual,1964,Best Director,Tom Jones
George Cukor,White,Na,Gay,1965,Best Director,My Fair Lady
Robert Wise,White,Na,Straight,1966,Best Director,The Sound of Music
Fred Zinnemann,White,Jewish,Straight,1967,Best Director,A Man for All Seasons
Mike Nichols,White,Jewish,Straight,1968,Best Director,The Graduate
Joel Coen,White,Jewish,Straight,2008,Best Director,No Country for Old Men
Carol Reed,White,Na,Straight,1969,Best Director,Oliver!
John Schlesinger,White,Na,Gay,1969,Best Director,Midnight Cowboy
Franklin J. Schaffner,White,Na,Straight,1970,Best Director,Patton
William Friedkin,White,Jewish,Straight,1972,Best Director,The French Connection
Bob Fosse,White,Na,Straight,1973,Best Director,Cabaret
George Roy Hill,White,Na,Straight,1973,Best Director,The Sting
Francis Ford Coppola,White,Na,Straight,1975,Best Director,The Godfather Part II
Milos Forman,White,Na,Straight,1976,Best Director,One Flew over the Cuckoo's Nest
John G. Avildsen,White,Na,Straight,1976,Best Director,Rocky
Woody Allen,White,Jewish,Straight,1978,Best Director,Annie Hall
Michael Cimino,White,Na,Straight,1979,Best Director,The Deer Hunter
Robert Benton,White,Na,Straight,1980,Best Director,Kramer vs. Kramer
Robert Redford,White,Na,Straight,1980,Best Director,Ordinary People
Warren Beatty,White,Baptist,Straight,1981,Best Director,Reds
Richard Attenborough,White,Na,Straight,1982,Best Director,Gandhi
