movie,movie_studio
The Mummy: Tomb of the Dragon Emperor,Universal Pictures
The Masked Saint,Freestyle Releasing
Spy Hard,Hollywood Pictures
Der Baader Meinhof Komplex (The Baader Meinhof Complex),Vitagraph Films
Apocalypse Now,United Artists
Mortdecai,Liongate Films
The Hurt Locker,Summit Entertainment
The Fortune,Columbia Pictures
Heaven Knows Mr. Allison,Fox
The Glass Shield,Miramax
The Haunted World of El Superbeasto,Anchor Bay Entertainment
The Land Before Time III: The Time of Great Giving,MCA Universal Home Video
Dirty Mary Crazy Larry,Anchor Bay Entertainment
Doctor Dolittle,20th Century Fox
Street Fighter: The Legend of Chun-Li,20th Century Fox
Marooned,Sony Pictures Entertainment
Never Cry Wolf,Disney
Empire,Universal Pictures
Shiri,IDP Distribution
Falling Down,Warner Bros. Pictures
Switch,Arcos Pictures
Ransom,Touchstone Pictures
Taken,20th Century Fox
Walking With The Enemy,Liberty Studios
101 Dalmatians,Buena Vista Pictures
Braven,Saban Films and Lionsgate
Ocean's Eleven,Warner Bros. Pictures
Terror by Night,Focus Film Entertainment
Sherlock Gnomes,Paramount Pictures
The Gumball Rally,WARNER BROTHERS PICTURES
Eraser,Warner Home Video
Paths of Glory,United Artists
The Lion King,Buena Vista
Elimination Game (Turkey Shoot),Thatcher Productions
The Losers,Warner Bros. Pictures
One Man's Hero,MGM/UA
Okja,Netflix
The Trip,American International Pictures
Captain America: Civil War,Walt Disney Pictures
The Clan of the Cave Bear,Warner Bros. Pictures
Bellflower,Oscilloscope Laboratories
The Gatekeeper,Abramorama Inc.
Lethal Weapon 3,Warner Home Video
Escape From Alcatraz,Paramount Home Video
Babe,Universal Pictures
The Eiger Sanction,Universal Pictures
Night at the Museum 2: Battle of the Smithsonian,20th Century Fox
Cradle 2 the Grave,Warner Bros.
Dredd,Lionsgate Films
The Thief of Bagdad,United Artists
Destroy All Monsters,American International Pictures
Outbreak,Warner Home Video
Bedknobs and Broomsticks,Buena Vista Pictures
McHale's Navy,Universal Pictures
A Good Day To Die Hard,20th Century Fox
Clockstoppers,Paramount Pictures
Samson,Pure Flix Entertainment
Transformers: Revenge of the Fallen,Paramount/Dreamworks
Salt,Sony Pictures
Antboy,Cinedigm
Dances With Wolves,Orion Pictures
Trapped,Columbia Pictures
Into the White,Magnolia Pictures
The Adventures of Sharkboy and Lavagirl in 3-D,Miramax
Futureworld,MGM
The Art Of The Steal,IFC Films
The Last Survivors (The Well),Federighi Films
Dynamite Warrior,Magnolia Pictures
Walkabout,20th Century Fox
Safety Last!,Criterion Collection
Every Which Way But Loose,Warner Bros. Pictures
The Getaway,Warner Bros. Pictures
Gangster No. 1,IFC Films
Mateo,Xlrator Media
Planet Terror (Grindhouse Presents: Robert Rodriguez's Planet Terror),The Weinstein Co./Dimension
Black Panther,Marvel Studios
Dear Diary (Caro diario),Warner Home Video
Machine Gun Preacher,Relativity Media
Nighthawks,MCA Universal Home Video
Tky Zankoku Keisatsu (Tokyo Gore Police),Media Blasters
Cold War 2,Edko Films
Any Which Way You Can,Warner Bros. Pictures
The Postman,Warner Home Video
Hotel for Dogs,Dreamworks Pictures
Beyond the Poseidon Adventure,Warner Home Video
A Walk Among the Tombstones,Universal Studios
Fix,Mangusta Productions
Mayhem,RLJE Films
Risen,Sony Pictures
Zulu Dawn,Tango Entertainment
Supergirl,TriStar Pictures
Tai Chi Zero,Variance Films/Well Go USA
Snatched,20th Century Fox
Fool's Gold,Warner Bros. Pictures
Force 10 From Navarone,Columbia Pictures
The Night Comes For Us,Netflix
Soldier,Warner Bros. Pictures
The Last Flight of Noah's Ark,Buena Vista
Ocean's Thirteen,Warner Bros. Pictures
Once Upon a Time in the West,Paramount Pictures
Embrace Of The Serpent (El Abrazo De La Serpiente),Buffalo Films
When Time Ran Out,Warner Home Video
Back to the Future Part III,MCA Universal Home Video
The Transporter Refueled,Relativity Europacorp Distribution
Snitch,Lionsgate/Summit Entertainment
The Dukes of Hazzard: The Beginning,Warner Home Video
They Came Back,Haut et Court
Lord Jim,Sony Pictures Entertainment
Bodyguards and Assassins (Shi yue wei cheng),Indomina Releasing
Never Back Down,Summit Entertainment
The Mummy,Universal Pictures
Mad Max: Fury Road,Warner Bros.
Fantastic Mr. Fox,20th Century Fox
Face/Off,Paramount Pictures
DuckTales: The Movie - Treasure of the Lost Lamp,Walt Disney Productions
Hitman,20th Century Fox
Dr. Seuss' Horton Hears a Who!,20th Century Fox
The Devil's Double,Lionsgate
Dumb and Dumber,Warner Bros
Paparazzi,20th Century Fox
Batman v Superman: Dawn of Justice,Warner Bros. Pictures
Blood Work,Warner Bros. Pictures
The League of Gentlemen,Criterion Collection
Treasure Planet,Buena Vista Distribution Compa
Trail of the Pink Panther,United Artists
Buffy the Vampire Slayer,20th Century Fox
The Rocketeer,Walt Disney Productions
Nevada Smith,Paramount Pictures
Rent-A-Cop,HBO Video
Blackthorn,Magnolia Pictures
Star Trek Generations,Paramount Pictures
The 10th Victim (La Decima vittima) (The Tenth Victim),Anchor Bay Entertainment
Stardust,Paramount Pictures
Spartan,Warner Bros. Pictures
The Snowman,Sony Pictures
The Young Americans,Lionsgate
Cliffhanger,Sony Pictures Home Entertainment
Exit Wounds,Warner Bros.
Distorted,Minds Eye International
"South of Heaven, West of Hell",Phaedra Cinema
"Honey, We Shrunk Ourselves!",Walt Disney Pictures
The Golden Voyage of Sinbad,Columbia Pictures
K-911,Universal Pictures
Red Cliff (Chi Bi),Magnolia Pictures
Jack Reacher: Never Go Back,Paramount Pictures
