attore,film,anno
Carla Thomas,Only the Strong Survive,2003
Deanna Dunagan,The Visit,2015
Jonas Chernick,My Awkward Sexual Adventure,2013
Jeanne Tripplehorn,The Firm,1993
Jenna Elfman,Keeping the Faith,2000
Chi-Lites,Only the Strong Survive,2003
Julie Gayet,Un Baiser s'il vous plat (Shall We Kiss?),2009
Charles Drake,It Came from Outer Space,1953
Bill Clinton,Naqoyqatsi (Naqoyqatsi: Life as War),2002
Hamidreza Djavdan,Under The Shadow,2016
Eddie Marsan,Jack the Giant Slayer,2013
Robby Benson,Beauty and the Beast,1991
Val Kilmer,Wonderland,2003
Macdara  Fatharta,Song of Granite,2017
Niels Arestrup,The French Minister,2014
Sieglinde Witzany-Durde,Six Million and One,2012
Jan Cornet,Men degustaci (Tasting Menu),2014
Phil Davies,Brighton Rock,2011
Nick Damici,Stake Land,2011
Max Martini,13 Hours: The Secret Soldiers Of Benghazi,2016
Kevin Bacon,"He Said, She Said",1991
Herbert Knaup,In Darkness,2012
Pierre Dulaine,Dancing In Jaffa,2014
Eleanor Parker,Home from the Hill,1960
Luis Tosar,Mondays in the Sun (Los Lunes al sol),2003
Julio Oscar Mechoso,The Legend of Zorro,2005
Ben Mendelsohn,Killing Them Softly,2012
Rebecca Hall,Tumbledown,2016
Bert Freed,Detective Story,1951
Samuel L. Jackson,National Lampoon's Loaded Weapon 1,1993
Naveen Andrews,Easy,2004
Lee Pace,The Fall,2006
Alan Alda,Murder at 1600,1997
Nicky Katt,One True Thing,1998
Billinjer C. Tran,Green Dragon,2001
Angela Bassett,Chi-Raq,2015
Shauna Macdonald,The Descent 2,2009
Marisa Tomei,Only You,1994
Matt Price,Melvin Goes to Dinner,2003
Matt Dillon,Nothing But the Truth,2008
Alex Thomas,The Players Club,1998
Abbey Lee,Elizabeth Harvest,2018
Andre Garet,Bob le Flambeur,1955
Cliff Chamberlain,Anguish,2015
Imad Jabarin,The Band's Visit,2007
Robert Longstreet,This Is Martin Bonner,2013
Martin Sheen,Apocalypse Now Redux,2001
Jean-Christophe Lie,The Red Turtle (La tortue rouge),2017
John Carroll Lynch,Gothika,2003
Albert Salmi,The Brothers Karamazov,1957
Leo Fitzpatrick,Blue Caprice,2013
Hugh Jackman,Kate & Leopold,2001
Mariah Carey,Tennessee,2009
Jack Davenport,The Stolen,2017
Ushio Shinohara,Cutie And The Boxer,2013
Frank Sinatra,Ocean's 11,1960
Catherine Keener,Enough Said,2013
William Orlamond,Flesh and the Devil,1926
Henry Fonda,My Darling Clementine,1946
Douglas M. Griffin,Maggie,2015
Heck Reinicke,Orchestra Of Exiles,2012
Joe Pantoliano,Short Time,1990
Kelly Hu,The Scorpion King,2002
Steven Wiig,Yosemite,2016
Charlie Korsmo,Can't Hardly Wait,1998
Anna Kendrick,Pitch Perfect,2012
Sofa Vergara,Hot Pursuit,2015
Vince McMahon,Beyond the Mat,1999
Helen Mack,His Girl Friday,1940
Jean-Claude Bolle-Reddat,The New Girlfriend,2015
John Carradine,Man Hunt,1941
Jon Lovitz,Mr. Destiny,1990
Rossy de Palma,Madame,2018
Billy Zane,The Believer,2002
Jason Alexander,The Trumpet of the Swan,2001
Amy Everson,Felt,2015
Karlheinz Bhm,Peeping Tom,1960
Joe Dante,Machete Maidens Unleashed!,2010
Katharine Hepburn,Rooster Cogburn,1999
Michaela Watkins,Enough Said,2013
Little Richard,Down and Out in Beverly Hills,1986
Diane Baker,Imaginary Crimes,1994
Pornchanok Mabklang,A Prayer Before Dawn,2018
Claire Balmford,"Ned Kelly (Ned Kelly, Outlaw)",1970
Juan Fernndez,The Collector,2009
Rick Steves,Evergreen: The Road to Legalization in Washington,2014
Dagmar Lassander,The Black Cat,1981
Leslie Bibb,Talladega Nights: The Ballad of Ricky Bobby,2006
Will Ferrell,Anchorman 2: The Legend Continues,2013
Jodie Foster,Inside Man,2006
Robin Tunney,Supernova,2000
Matt Damon,Titan A.E.,2000
Hailee Steinfeld,The Edge of Seventeen,2016
Smiley Burnette,South of the Border,1939
Andrew Keegan,Living Among Us,2018
Guy Clark,We Were Here,2011
Dana Ivey,The Kid,2000
Demi Lovato,Camp Rock 2: The Final Jam,2010
Bill Cobbs,Air Bud,1997
Boonee,Starlet,2012
Daniel Gimnez Cacho,Blancanieves,2013
Mark Long,Stormy Monday,1988
John Gielgud,Chariots of Fire,1981
Mary Elizabeth Winstead,Scott Pilgrim vs. the World,2010
Billy Campbell,Red Knot,2014
Phillip Jarrett,Inferno (Pilgrim),2000
Flavio Bauraqui,Madame Sat,2002
Roman Polanski,Weekend Of A Champion,2013
Jay Adams,Dogtown and Z-Boys,2001
Thomas Mann,Brain on Fire,2018
Kyle T. Heffner,Runaway Train,1985
Thomas Jay Ryan,Strange Culture,2007
Isiah Whitlock Jr.,Person to Person,2017
Jason 'Wee Man' Acua,Jackass 3.5,2011
Yuri Kolokolnikov,The Duelist (Duelyant),2016
Mike Straub,The Hills Run Red,2009
Tom Cruise,Stanley Kubrick: A Life in Pictures,2001
Jon Favreau,The Break-Up,2006
Noam Jenkins,This Beautiful City,2007
Barbara Hershey,Falling Down,1993
Albert Finney,Shoot the Moon,1982
Veronica Sixtos,Hostile Border (Pocha: Manifest Destiny),2016
Mark Valley,Gun Shy,2017
Marc Warren,Hellraiser: Deader,2005
Jaime King,Mother's Day,2012
Elizabeth Tulloch,Chronic,2016
Janeane Garofalo,The Guitar,2008
Evelin Hagoel,The Women's Balcony (Ismach Hatani),2017
Alexander Ilyin,Hard to be a God,2015
Donald Faison,Kick-Ass 2,2013
Drew Barrymore,My Date With Drew,2004
Dean Stockwell,Catchfire (Backtrack),1990
David Copperfield,Terror Train,1980
Norma Crane,Fiddler on the Roof,1971
Silvia Pinal,The Exterminating Angel (El ngel Exterminador),1967
Paul Rudd,Prince Avalanche,2013
Gina Gershon,Killer Joe,2012
Nicolas Duvauchelle,Let the Sunshine In (Un beau soleil intrieur),2018
Jason Beghe,Going Clear: Scientology and the Prison of Belief,2015
Fine Time Fontayne,Butterfly Kiss,1996
Wladimir Klitschko,Klitschko,2011
Billy Crudup,Youth in Oregon,2017
Patsy Kensit,Speedway Junky,2002
Subir Banerji,Pather Panchali,1955
Ignacia Allamand,Knock Knock,2015
Jim Broadbent,Big Game,2015
Emanuel Steward,Klitschko,2011
Ian Hendry,Theater of Blood (Theatre of Blood) (Much Ado About Murder),1973
Joe Egender,Holy Ghost People,2014
Danielle Safady,Escape From Tomorrow,2013
Vicki Schreck,Freaky Friday,1976
Richard Harrison,Harold's Going Stiff,2013
Joel Grey,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976
Hill Harper,Hav Plenty,1998
William Dick,The Company,2003
Jafar Panahi,Jafar Panahi's Taxi,2015
Marion Cotillard,Contagion,2011
Eric Idle,Monty Python's Life of Brian,1979
Rupert Grint,Driving Lessons,2006
Vincent Rottiers,Renoir,2013
Jody Thompson,Alien Trespass,2009
Diedrich Bader,Sassy Pants,2012
Dennis Hopper,River's Edge,1987
Lindsay Jones,Marfa Girl,2015
Bruce Cabot,The War Wagon,1967
Boyd Holbrook,Morgan,2016
Charlize Theron,Sleepwalking,2008
Johnathon Schaech,Reprisal,2018
Ricki Lake,Gemini,2018
Paul Bettany,Margin Call,2011
Wang Xueqin,Iron Man 3,2013
Hikari Mitsushima,Mary and The Witch's Flower,2018
David Conrad,Snow White: A Tale of Terror,1997
Casey Affleck,Committed,2000
Andrew Cherry,The Rebound,2009
Jenna Elfman,Looney Tunes: Back in Action,2003
Kara Hoffman,Lemony Snicket's A Series of Unfortunate Events,2004
Peter Weller,Screamers,1996
Martin Short,Frankenweenie,2012
Roscoe Karns,It Happened One Night,1934
Rebecca Romijn,Femme Fatale,2002
Henry Czerny,Conversations With God,2006
Bow Wow,Roll Bounce,2005
Kevin Connolly,Reach Me,2014
Vera Farmiga,Goats,2012
Andy Garcia,Dead Again,1991
Michele Carey,El Dorado,1967
Ryan Phillippe,Antitrust,2001
Robert Patrick,Fire in the Sky,1993
Solbjrg Hjfeldt,Brothers,2004
Gerard Horan,In the Bleak Midwinter (A Midwinter's Tale),1996
Grigori Aleksandrov,Strike (Stachka),1925
Suzy Parker,The Best of Everything,1959
Liam Mulvey,Kingsglaive: Final Fantasy XV,2016
Jeanne Tripplehorn,Grey Gardens,2009
Shigeo Kobayashi,The Flowers of War,2011
Charlie Parker,The Imposter,2012
Julie Benz,Punisher: War Zone,2008
Chris Herren,The Anonymous People,2014
Natalie Portman,A Tale of Love and Darkness,2016
Melissa Altro,Pippi Longstocking,1997
Jim Brown,Original Gangstas,1996
Jeremy Crutchley,The Mangler,1994
Billie Neal,Mortal Thoughts,1991
Frank Sinatra,Some Came Running,1959
Courtney Gains,Children of the Corn,1984
William Ruane,The Angels' Share,2013
David Wenham,Australia,2008
John Boswall,The Statement,2003
Nicki SooHoo,Stick It,2006
Ernest Trosman,Jailbait,2004
Rebecca Da Costa,The Bag Man,2014
Matt Keeslar,Mr. Magoo,1997
Matt Dillon,Herbie: Fully Loaded,2005
David Ogden Stiers,Jungle 2 Jungle,1997
Youssou N'Dour,Youssou Ndour: I Bring What I Love,2009
Jeannine Mestre,The Living Dead at Manchester Morgue,1974
Patrick Stewart,Jimmy Neutron - Boy Genius,2001
Ossie Davis,Baadasssss!,2003
Michael Wright,Streamers,1983
Marcus Gilbert,Army of Darkness,1993
Emily Woof,Velvet Goldmine,1998
Will Ferrell,Step Brothers,2008
