nome
Alfred Gough
Scott Crowell
Rick Friedberg
Uli Edel
John Milius
Eric Aronson
Mark Boal
Angela Sommer-Bodenburg
Carole Eastman
John Lee Mahin
Charles Burnett
Tom Papa
Dev Ross
Leslie Bricusse
Justin Marks
Mayo Simon
Richard Kletter
Franc. Reyes
Je-kyu Kang
Ebbe Roe Smith
Cyril Hume
Luc Besson
Kenny Golde
John Hughes
Thomas Pa'a Sibbett
Ted Griffin
Frank Gruber
Ben Zazove
Tony Puryear
Calder Willingham
Linda Woolverton
Jon Hewitt
Peter Berg
Milton Gelman
Bong Joon Ho
Jack Nicholson
Jean M. Auel
Evan Glodell
John Carlos Frey
Jeffrey Boam
Richard Tuggle
Chris Noonan
Hal Dresner
Christopher Markus
John O'Brien
Alex Garland
Douglas Fairbanks
Ishir Honda
Laurence Dworet
Bill Walsh
Peter Crabbe
Skip Woods
David N. Weiss
Robert Ben Garant
Timothy Ratajczak
Ehren Kruger
Kurt Wimmer
Anders lholm
Michael Blake
Greg Iles
Ole Meldgaard
Robert Rodriguez
Tom Hammock
Yuthapong Pirayuthapon
Edward Bond
Hal Roach
Jeremy Joe Kronsberg
Walter Hill
Johnny Ferguson
Jason Keller
David Shaber
Kengo Kaji
Sunny Luk
Stanford Sherman
Eric Roth
Jeff Lowell
Nelson Gidding
Scott Frank
Tao Ruspoli
Matias Caruso
Chang Chia-lu
Cy Endfield
David Odell
Zhang Jialu
Katie Dippold
William A. Kirkley
John Clafin
Carl Foreman
Timo Tjahjanto
David Webb Peoples
George Arthur Bloom
George Schenck
Brian Koppelman
Sergio Leone
Ciro Guerra
Bob Gale
Bill Collage
Ric Roman Waugh
Robin Campillo
Richard Brooks
Chun Tin-nam
Chris Hauty
David Koepp
Brendan McCarthy
Wes Anderson
Joe Robert Cole
Michael Colleary
Alan Burnett
Cinco Paul
Michael Thomas
Peter Farrelly
Forry Smith
Brian Helgeland
Bryan Forbes
Sam Levine
Blake Edwards
Joss Whedon
Danny Bilson
John Michael Hayes
Michael Blodgett
Brannon Braga
Tonino Guerra
Neil Gaiman
David Mamet
Raymond Briggs
David Hilton
Ed Horowitz
Arne Olsen
Shane Morris
Miguel Barroso
Brian Clemens
Steven Siegel
Kuo Zheng
Richard Wenk
Eran Creevy
Jeff Dixon
Troy Duffy
John Lasseter
Michael Blankfort
Sam Peckinpah
Jason Fuchs
Ed Neumeier
Ted Berman
Arthur Weiss
He Keke
Martha Stephens
Diane O. Thomas
Kevin Reynolds
Stephen E. deSouza
Jeff Maguire
Quentin Werty
Quentin Tarantino
Sean Brenden Brosnan
Jing Wong
Gladys Hill
Emeric Pressburger
Jeong-beom Lee
James DeMonaco
Arash Amel
Cheung Tan
Mark Neveldine
James Mark
Richard D'Ovidio
Rian Johnson
William Goldman
Burt Kennedy
Jared Bush
Charles Randolph
Bruce Feirstein
Emily Carmichael
Sean McNamara
Roger L. Simon
Scott Alexander
Richard Kelly
Wayne Kramer
Seaman Jacobs
Boaz Yakin
Michael Almereyda
Ace Hannah
Leslie Bohem
Zack Snyder
Ravn Lanesskog
Hampton Fancher
Paul Attanasio
Harald Zwart
Gregory Burke
Steven McKay
Larry Leker
James Bruner
Andrew Dominik
John Leekley
Charlie Peters
Vondie Curtis-Hall
Ed Solomon
David Klass
Hsiao Lung
Brad Mirman
Max Adams
Roland Emmerich
Guinevere Turner
Robert Zemeckis
Robert Carson
Paul de Meo
Paul W.S. Anderson
Akiva Goldsman
Akira Kurosawa
Howard A. Rodman
Brulio Mantovani
Ying Wong
Gabriel Ferrari
Don MacPherson
Jeb Stuart
Aaron Guzikowski
Jerome Tonnerre
Jimmy Huston
Ben Ripley
Paul Dehn
Emily Kagan
T'ien-wen Chu
Walter Bernstein
Chris Brancato
Hark Tsui
Alex Lasker
Neil Marshall
Robert J. Avrech
Grard Brach
Stiles White
Juan Carlos Maneglia
Cornelius Ryan
Evelyn Purcell
Jim Cash
Nicholas Corea
Karl Gajdusek
Philippa Boyens
Hideo Oguni
Ekasith Thairat
Zha Muchun
Richard Maibaum
Jeanne Rosenberg
A.S. Fleischman
Stuart Townsend
Carl Ellsworth
Lewis Colick
Guy Trosper
Robert Bolt
James Cameron
Mikko Alanne
Michael Davis
Takashi Hasegawa
Jonas Pate
Manuel Sicilia
Guy Ritchie
Scott Cooper
William D. Wittliff
Kar-Wai Wong
Christine Olsen
Frederick Forsyth
Eric Darnell
Dante Lam
Yoshitaka Asama
Max Landis
Rodrigo Garca
Sergio G. Snchez
David Ayer
Carol Sobieski
Andrew W. Marlowe
John Roach
Barry Wong
John Hlavin
Erik Sommers
Richard Curtis
Noah Oppenheim
Philip John Taylor
Glen Goei
Jean Franois Halin
Damian Nieman
Tania Rose
Douglas S. Cook
James Wong
Gina Goldman
Dan Studney
Coralie Fargeat
Paul Hernandez
Earl W. Baldwin
John Bokenkamp
Liam O'Brien
Chris Morgan
Joe R. Lansdale
Russell Mulcahy
Chad Law
Henry Gayden
Teddy Chan
Dudley Nichols
James Poe
Steven E. de Souza
Steven Pressfield
Christian McDonald
