movie,screenwriter,year
Where the Day Takes You,Marc Rocco,1992
The Rise and Rise of Bitcoin,Patrick Lope,2014
Mao's Last Dancer,Jan Sardi,2010
RoboCop,Edward Neumeier,1987
Marigold,Willard Carroll,2007
The Blue Dahlia,Raymond Chandler,1946
Mr. Magoo,Tom Sherohman,1997
Captain Horatio Hornblower,Ivan Goff,1951
The Passion of Darkly Noon,Philip Ridley,1995
Chico & Rita,Ignacio Martnez de Pisn,2012
The Pirate,Albert Hackett,1948
Looking for Comedy in the Muslim World,Albert Brooks,2006
Lolita,Stephen Schiff,1997
Christmas Eve,Mitch Davis,2015
Close Range,Shane Dax Taylor,2015
The Sandpiper,Michael Wilson,1965
Jab Tak Hai Jaan,Devika Bhagat,2012
Darkman III: Die Darkman Die,Mike Werb,1995
Pollock,Susan J. Emshwiller,2000
An American Crime,Tommy O'Haver,2007
Crossover,Preston A. Whitmore II,2006
Jacob's Ladder,Bruce Joel Rubin,1990
The Look of Silence,Joshua Oppenheimer,2015
Vice Versa,Ian La Frenais,1988
Jump Tomorrow,Joel Hopkins,2001
Scrooged,Michael O'Donoghue,1988
Unconscious,George Williams (XVI),2006
Holiday Inn,Claude Binyon,1942
The Oranges,Ian Helfer,2012
The Revenant,D. Kerry Prior,2012
A Cat in Paris,Alain Gagnol,2012
Scars of Dracula,Anthony Hinds,1970
Where the Heart Is,John Boorman,1990
Heavy Metal in Baghdad,Suroosh Alvi,2008
Anne of the Thousand Days,John Boland,1969
Mystery Science Theater 3000: The Movie,Bridget Jones,1996
Nightingale,Frederick Mensch,2015
A Field in England,Amy Jump,2014
Natural Born Killers,David Veloz,1994
Unsane,Jonathan Bernstein,2018
El artista y la modelo (The Artist and the Model),Fernando Trueba,2013
The Joy Luck Club,Ron Bass,1993
Dark Horse,Todd Solondz,2012
Ripley's Game,Liliana Cavani,2003
On the Town,Betty Comden,1949
Spiderhole,Daniel Simpson,2011
The Jerk,Carl Gottlieb,1979
Dungeons & Dragons,Carroll Cartwright,2000
Everly,Yale Hannon,2015
Wizards,Ralph Bakshi,1977
Amen,Costa-Gavras,2003
